cpu_id,canonical,aliases,cores,tdp,launch_year,bench_score
intel-i3-1115g4,Intel Core i3-1115G4,i3-1115G4|i3 1115G4|Core i3 1115G4|i3-1115,2,15,2020,5300
intel-i5-1035g1,Intel Core i5-1035G1,i5-1035G1|i5 1035G1|Core i5 1035G1,4,15,2019,6900
intel-i5-10310u,Intel Core i5-10310U,i5-10310U|i5 10310U|Core i5 10310U|i5-10310,4,15,2019,7300
intel-i5-1135g7,Intel Core i5-1135G7,i5-1135G7|i5 1135G7|Core i5 1135G7|i5-1135,4,15,2020,10100
intel-i5-1145g7,Intel Core i5-1145G7,i5-1145G7|i5 1145G7|Core i5 1145G7|i5-1145|i5 11th Gen vPro,4,15,2021,10400
intel-i7-1165g7,Intel Core i7-1165G7,i7-1165G7|i7 1165G7|Core i7 1165G7|i7-1165,4,15,2020,10600
intel-i7-1185g7,Intel Core i7-1185G7,i7-1185G7|i7 1185G7|Core i7 1185G7,4,15,2021,11200
intel-i7-11800h,Intel Core i7-11800H,i7-11800H|i7 11800H|Core i7 11800H,8,45,2021,21500
intel-i7-1265u,Intel Core i7-1265U,i7-1265U|i7 1265U|Core i7 1265U,10,15,2022,13900
apple-m1,Apple M1,M1|Apple M1 8-core,8,20,2020,14800
apple-m2,Apple M2,M2|Apple M2 8-core,8,20,2022,16800
intel-gen11-i5-median,Intel 11th Gen Core i5 (generation median),i5 11th Gen|11th Gen i5|i5 11th,4,15,2021,10200
intel-gen10-i5-median,Intel 10th Gen Core i5 (generation median),i5 10th Gen|10th Gen i5|i5 10th,4,15,2019,7200
