# GENERATED by scripts/build_catalog.py - edit the script, not this file.
# release_date is the family's launch year (day/month are placeholders).
# launch_rrp is approximate and only feeds a sanity guardrail.
# The attributes that matter for pricing - build_class, supply_class,
# ram_upgradeable, storage_upgradeable - are set per family and are the ones
# worth correcting first if any look wrong for your stock.
model_id,brand,family,model_name,generation,release_date,launch_rrp,build_class,supply_class,chassis_material,ram_upgradeable,storage_upgradeable,durability_cert,panel_class,port_class,parts_availability,successor_model_id
dell-latitude-5400,Dell,Latitude,Latitude 5400,8th Gen,2019-01-01,1049,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5410
dell-latitude-5410,Dell,Latitude,Latitude 5410,10th Gen,2020-01-01,1079,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-3410
dell-latitude-3410,Dell,Latitude,Latitude 3410,10th Gen,2020-01-01,749,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5420
dell-latitude-5420,Dell,Latitude,Latitude 5420,11th Gen,2021-01-01,1099,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5520
dell-latitude-5520,Dell,Latitude,Latitude 5520,11th Gen,2021-01-01,1149,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-3420
dell-latitude-3420,Dell,Latitude,Latitude 3420,11th Gen,2021-01-01,779,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5430
dell-latitude-5430,Dell,Latitude,Latitude 5430,12th Gen,2022-01-01,1149,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5530
dell-latitude-5530,Dell,Latitude,Latitude 5530,12th Gen,2022-01-01,1199,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-5440
dell-latitude-5440,Dell,Latitude,Latitude 5440,13th Gen,2023-01-01,1199,enterprise,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,abundant,
dell-latitude-7400,Dell,Latitude,Latitude 7400,8th Gen,2019-01-01,1449,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-7410
dell-latitude-7410,Dell,Latitude,Latitude 7410,10th Gen,2020-01-01,1479,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-7420
dell-latitude-7420,Dell,Latitude,Latitude 7420,11th Gen,2021-01-01,1499,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-9420
dell-latitude-9420,Dell,Latitude,Latitude 9420,11th Gen,2021-01-01,1899,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-7430
dell-latitude-7430,Dell,Latitude,Latitude 7430,12th Gen,2022-01-01,1549,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-9430
dell-latitude-9430,Dell,Latitude,Latitude 9430,12th Gen,2022-01-01,1949,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,dell-latitude-7440
dell-latitude-7440,Dell,Latitude,Latitude 7440,13th Gen,2023-01-01,1599,enterprise,lease_return_heavy,carbon_fibre,0,1,MIL-STD-810,ips,thunderbolt,abundant,
dell-precision-3550,Dell,Precision,Precision 3550,10th Gen,2020-01-01,1399,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-5550
dell-precision-5550,Dell,Precision,Precision 5550,10th Gen,2020-01-01,1999,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-7550
dell-precision-7550,Dell,Precision,Precision 7550,10th Gen,2020-01-01,2399,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-3560
dell-precision-3560,Dell,Precision,Precision 3560,11th Gen,2021-01-01,1449,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-5560
dell-precision-5560,Dell,Precision,Precision 5560,11th Gen,2021-01-01,2099,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-7560
dell-precision-7560,Dell,Precision,Precision 7560,11th Gen,2021-01-01,2499,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,dell-precision-3570
dell-precision-3570,Dell,Precision,Precision 3570,12th Gen,2022-01-01,1499,workstation,lease_return_heavy,magnesium_alloy,1,1,MIL-STD-810,ips,thunderbolt,moderate,
dell-xps-13-9300,Dell,XPS,XPS 13 9300,10th Gen,2020-01-01,1299,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,dell-xps-13-9310
dell-xps-13-9310,Dell,XPS,XPS 13 9310,11th Gen,2020-01-01,1399,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,dell-xps-15-9500
dell-xps-15-9500,Dell,XPS,XPS 15 9500,10th Gen,2020-01-01,1799,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,dell-xps-15-9510
dell-xps-15-9510,Dell,XPS,XPS 15 9510,11th Gen,2021-01-01,1899,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,dell-xps-13-9315
dell-xps-13-9315,Dell,XPS,XPS 13 9315,12th Gen,2022-01-01,1099,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,dell-xps-15-9520
dell-xps-15-9520,Dell,XPS,XPS 15 9520,12th Gen,2022-01-01,1949,premium_consumer,retail_only,aluminium,0,1,,uhd,thunderbolt,moderate,
dell-inspiron-3511,Dell,Inspiron,Inspiron 3511,11th Gen,2021-01-01,449,budget_consumer,retail_only,abs,1,1,,tn,usb_c_data,moderate,dell-inspiron-5510
dell-inspiron-5510,Dell,Inspiron,Inspiron 5510,11th Gen,2021-01-01,649,budget_consumer,retail_only,abs,1,1,,tn,usb_c_data,moderate,dell-inspiron-3520
dell-inspiron-3520,Dell,Inspiron,Inspiron 3520,12th Gen,2022-01-01,479,budget_consumer,retail_only,abs,1,1,,tn,usb_c_data,moderate,dell-inspiron-5620
dell-inspiron-5620,Dell,Inspiron,Inspiron 5620,12th Gen,2022-01-01,699,budget_consumer,retail_only,abs,1,1,,tn,usb_c_data,moderate,
hp-elitebook-840-g5,HP,EliteBook,EliteBook 840 G5,8th Gen,2018-01-01,1199,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-840-g6
hp-elitebook-840-g6,HP,EliteBook,EliteBook 840 G6,8th Gen,2019-01-01,1229,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-830-g6
hp-elitebook-830-g6,HP,EliteBook,EliteBook 830 G6,8th Gen,2019-01-01,1149,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-850-g6
hp-elitebook-850-g6,HP,EliteBook,EliteBook 850 G6,8th Gen,2019-01-01,1299,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-840-g7
hp-elitebook-840-g7,HP,EliteBook,EliteBook 840 G7,10th Gen,2020-01-01,1249,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-830-g7
hp-elitebook-830-g7,HP,EliteBook,EliteBook 830 G7,10th Gen,2020-01-01,1179,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-850-g7
hp-elitebook-850-g7,HP,EliteBook,EliteBook 850 G7,10th Gen,2020-01-01,1329,enterprise,lease_return_heavy,aluminium,1,1,MIL-STD-810,ips,thunderbolt,abundant,hp-elitebook-840-g8
