SALE DATE,LOT DESCRIPTION,HAMMER,UNITS,GRADE
15/02/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,215.66,1,Grade 2
21/02/2026,DELL LATITUDE 5420 I5-1145G7 32GB 1TB,209.81,1,Grade 3
24/02/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,258.79,1,Grade 2
25/02/2026,APPLE MACBOOK AIR M1 8GB 256GB,514.62,1,Grade 2
06/03/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1185G7 16GB 1TB,441.92,1,Grade 2
07/03/2026,DELL LATITUDE 7420 I7-1185G7 16GB 512GB,265.32,1,Grade 3
08/03/2026,LENOVO LEGION 5 15 I7-11800H 16GB 512GB RTX 3060,455.05,1,Grade 3
09/03/2026,HP ELITEBOOK 840 G7 I7-1165G7 16GB 512GB,189.67,1,Grade 3
11/03/2026,DELL LATITUDE 5420 I5-1135G7 16GB 512GB,221.48,1,Grade 2
12/03/2026,APPLE MACBOOK AIR M1 8GB 256GB,493.45,1,Grade 2
20/03/2026,HP ELITEBOOK 840 G7 I7-1165G7 16GB 512GB,246.45,1,Grade 2
21/03/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1185G7 16GB 1TB,384.73,1,Grade 3
26/03/2026,HP ELITEBOOK 840 G7 I5-10310U 8GB 256GB,182.95,1,Grade 1
01/04/2026,DELL XPS 13 9310 I7-1185G7 16GB 1TB 4K TOUCH,445.35,1,Grade 1
04/04/2026,DELL LATITUDE 5420 I5-1135G7 16GB 512GB,181.31,1,Grade 2
07/04/2026,APPLE MACBOOK AIR M1 8GB 256GB,406.94,1,Grade 3
09/04/2026,LENOVO THINKPAD T14 GEN 2 I5-1135G7 16GB 512GB,226.17,1,Grade 2
16/04/2026,LENOVO THINKPAD T14 GEN 2 I5-1135G7 16GB 512GB,178.91,1,Grade 3
19/04/2026,DELL LATITUDE 5420 I5-1145G7 8GB 256GB,239.46,1,Grade 1
21/04/2026,DELL XPS 13 9310 I7-1185G7 16GB 1TB 4K TOUCH,491.58,1,Grade 1
22/04/2026,APPLE MACBOOK AIR M1 8GB 256GB,479.45,1,Grade 2
29/04/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1165G7 16GB 512GB,341.81,1,Grade 3
30/04/2026,DELL XPS 13 9310 I7-1185G7 16GB 1TB 4K TOUCH,450.43,1,Grade 2
30/04/2026,LENOVO THINKPAD T14 GEN 2 I5-1135G7 16GB 512GB,180.23,1,Grade 3
03/05/2026,APPLE MACBOOK AIR M1 16GB 512GB,510.80,1,Grade 3
06/05/2026,DELL LATITUDE 7420 I7-1185G7 16GB 512GB,271.42,1,Grade 3
06/05/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1185G7 16GB 1TB,403.68,1,Grade 3
10/05/2026,DELL LATITUDE 7420 I5-1145G7 16GB 512GB,198.98,1,Grade 3
12/05/2026,APPLE MACBOOK AIR M1 8GB 256GB,564.63,1,Grade 1
15/05/2026,HP ELITEBOOK 840 G7 I5-10310U 8GB 256GB,125.28,1,Grade 3
16/05/2026,APPLE MACBOOK AIR M1 8GB 256GB,520.97,1,Grade 1
18/05/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,165.81,1,Grade 3
18/05/2026,HP ELITEBOOK 840 G7 I5-10310U 16GB 256GB,158.34,1,Grade 3
18/05/2026,APPLE MACBOOK AIR M1 8GB 256GB,442.01,1,Grade 2
26/05/2026,HP ELITEBOOK 840 G7 I5-10310U 16GB 256GB,197.22,1,Grade 2
26/05/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1185G7 16GB 1TB,399.39,1,Grade 3
30/05/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,139.45,1,Grade 4
01/06/2026,LENOVO LEGION 5 15 I7-11800H 16GB 512GB RTX 3060,398.98,1,Grade 3
04/06/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,218.76,1,Grade 1
07/06/2026,DELL XPS 13 9310 I7-1185G7 16GB 1TB 4K TOUCH,474.97,1,Grade 1
07/06/2026,HP ELITEBOOK 840 G7 I5-10310U 8GB 256GB,152.15,1,Grade 1
08/06/2026,DELL LATITUDE 7420 I7-1185G7 16GB 512GB,315.09,1,Grade 1
09/06/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,185.73,1,Grade 2
10/06/2026,APPLE MACBOOK AIR M1 16GB 512GB,368.90,1,Grade 4
12/06/2026,DELL LATITUDE 5420 I5-1145G7 16GB 512GB NVME 14IN FHD,195.67,1,Grade 3
14/06/2026,DELL LATITUDE 5420 I5-1145G7 8GB 256GB,159.55,1,Grade 2
16/06/2026,DELL LATITUDE 7420 I7-1185G7 16GB 512GB,282.41,1,Grade 2
16/06/2026,LENOVO LEGION 5 15 I7-11800H 16GB 512GB RTX 3060,529.46,1,Grade 1
16/06/2026,DELL LATITUDE 5420 I5-1135G7 16GB 512GB,200.93,1,Grade 2
21/06/2026,DELL LATITUDE 7420 I5-1145G7 16GB 512GB,237.25,1,Grade 2
23/06/2026,DELL LATITUDE 5420 I5-1145G7 8GB 256GB,184.84,1,Grade 2
24/06/2026,LENOVO LEGION 5 15 I7-11800H 16GB 512GB RTX 3060,517.65,1,Grade 1
25/06/2026,APPLE MACBOOK AIR M1 16GB 512GB,343.31,1,Grade 4
27/06/2026,HP ELITEBOOK 840 G7 I7-1165G7 16GB 512GB,180.18,1,Grade 3
02/07/2026,APPLE MACBOOK AIR M1 16GB 512GB,599.14,1,Grade 2
04/07/2026,APPLE MACBOOK AIR M1 16GB 512GB,637.00,1,Grade 1
04/07/2026,HP ELITEBOOK 840 G7 I5-10310U 16GB 256GB,172.09,1,Grade 1
08/07/2026,DELL LATITUDE 5420 I5-1145G7 8GB 256GB,169.40,1,Grade 3
08/07/2026,LENOVO LEGION 5 15 I7-11800H 16GB 512GB RTX 3060,532.98,1,Grade 1
13/07/2026,DELL LATITUDE 7420 I5-1145G7 16GB 512GB,212.10,1,Grade 2
17/07/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1165G7 16GB 512GB,371.54,1,Grade 2
18/07/2026,LENOVO THINKPAD T14 GEN 2 I5-1135G7 16GB 512GB,163.34,1,Grade 3
25/07/2026,LENOVO THINKPAD X1 CARBON GEN 9 I7-1165G7 16GB 512GB,378.02,1,Grade 2
02/08/2026,LENOVO THINKPAD T14 GEN 2 I5-1135G7 16GB 512GB,222.70,1,Grade 1
04/08/2026,HP ELITEBOOK 840 G7 I5-10310U 16GB 256GB,172.10,1,Grade 2
05/08/2026,DELL LATITUDE 5420 I5-1135G7 16GB 512GB,193.93,1,Grade 1
06/08/2026,DELL LATITUDE 5420 I5-1145G7 8GB 256GB,199.78,1,Grade 2
11/08/2026,HP ELITEBOOK 840 G7 I7-1165G7 16GB 512GB,188.23,1,Grade 2
15/08/2026,DELL LATITUDE 7420 I7-1185G7 16GB 512GB,244.61,1,Grade 2
15/08/2026,DELL LATITUDE 5420 I5-1135G7 16GB 512GB,133.25,1,Grade 4
