Item Title,Sold For,Postage,Date Sold,Qty,Condition
Dell Latitude 7420 i5-1145G7 16GB 512GB,421.19,0.00,2026-02-11,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,308.69,0.00,2026-02-11,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,328.85,0.00,2026-02-11,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,275.65,0.00,2026-02-11,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,334.90,0.00,2026-02-13,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,640.48,0.00,2026-02-13,1,Very Good
Apple MacBook Air M1 8GB 256GB,592.32,0.00,2026-02-19,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,601.78,0.00,2026-02-20,1,Acceptable
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,326.58,0.00,2026-02-22,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,258.90,0.00,2026-02-22,1,Acceptable
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,327.26,0.00,2026-02-23,1,Acceptable
HP EliteBook 840 G7 i7-1165G7 16GB 512GB,297.15,0.00,2026-02-24,1,Acceptable
Apple MacBook Air M1 16GB 512GB,967.06,0.00,2026-02-25,1,Very Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,137.03,0.00,2026-02-25,1,Acceptable
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,162.42,0.00,2026-02-26,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,281.07,0.00,2026-02-27,1,Good
HP EliteBook 840 G7 i5-10310U 16GB 256GB,214.47,0.00,2026-02-28,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,418.46,0.00,2026-03-02,1,Good
Dell Latitude 7420 i5-1145G7 16GB 512GB,408.29,0.00,2026-03-02,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,584.17,0.00,2026-03-03,1,Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,165.76,0.00,2026-03-04,1,Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,188.65,0.00,2026-03-04,1,New (other)
Dell Latitude 7420 i7-1185G7 16GB 512GB,431.76,0.00,2026-03-05,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,264.23,0.00,2026-03-06,1,Good
Dell Latitude 5420 i5-1135G7 16GB 512GB,286.76,0.00,2026-03-07,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,652.56,0.00,2026-03-09,1,Acceptable
Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,602.57,0.00,2026-03-09,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,657.63,0.00,2026-03-10,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,568.14,0.00,2026-03-10,1,Acceptable
Dell Latitude 5420 i5-1145G7 32GB 1TB,354.75,0.00,2026-03-13,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,359.46,0.00,2026-03-13,1,Very Good
Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,178.15,0.00,2026-03-14,1,New (other)
Dell Latitude 5420 i5-1145G7 8GB 256GB,285.11,0.00,2026-03-14,1,Good
HP EliteBook 840 G7 i5-10310U 8GB 256GB,264.74,0.00,2026-03-14,1,Good
Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,869.74,0.00,2026-03-15,1,Good
Dell Latitude 7420 i7-1185G7 16GB 512GB,426.53,0.00,2026-03-16,1,Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,370.09,0.00,2026-03-21,1,Very Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,744.77,0.00,2026-03-21,1,Very Good
Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,354.98,0.00,2026-03-22,1,Very Good
Dell Latitude 5420 i5-1145G7 32GB 1TB,377.42,0.00,2026-03-23,1,Good
Dell Latitude 5420 i5-1145G7 8GB 256GB,264.25,0.00,2026-03-24,1,Good
Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,648.58,0.00,2026-03-27,1,Acceptable
Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,673.20,0.00,2026-03-27,1,Very Good
Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,275.63,0.00,2026-03-28,1,Acceptable
