invoice_date,description,gross_price,grade,serial
2026-02-12,HP EliteBook 840 G7 i5-10310U 16GB 256GB,266.32,A,
2026-02-17,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,674.21,A,
2026-02-23,HP EliteBook 840 G7 i5-10310U 16GB 256GB,198.93,C,
2026-02-23,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,299.79,B,
2026-02-25,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,637.66,B,
2026-02-25,Dell Latitude 5420 i5-1145G7 32GB 1TB,377.27,B,
2026-02-25,Dell Latitude 5420 i5-1135G7 16GB 512GB,308.28,A,
2026-02-26,HP EliteBook 840 G7 i7-1165G7 16GB 512GB,370.18,A+,
2026-02-27,Dell Latitude 5420 i5-1145G7 8GB 256GB,287.20,A,
2026-02-27,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,745.11,B,
2026-03-03,HP EliteBook 840 G7 i5-10310U 16GB 256GB,279.58,A,
2026-03-03,HP EliteBook 840 G7 i5-10310U 8GB 256GB,204.18,C,
2026-03-04,Dell Latitude 5420 i5-1145G7 8GB 256GB,287.30,A,
2026-03-05,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,635.27,A,
2026-03-07,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,151.69,B,
2026-03-08,Apple MacBook Air M1 8GB 256GB,712.75,A+,
2026-03-10,Apple MacBook Air M1 8GB 256GB,673.10,B,
2026-03-12,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,716.11,A+,
2026-03-12,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,231.69,C,
2026-03-15,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,687.03,A+,
2026-03-17,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,674.63,B,
2026-03-17,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,708.29,A,
2026-03-18,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,521.76,C,
2026-03-21,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,221.32,C,
2026-03-23,Apple MacBook Air M1 16GB 512GB,818.00,B,
2026-03-26,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,569.10,B,
2026-03-27,Dell Latitude 5420 i5-1135G7 16GB 512GB,206.23,C,
2026-03-30,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,682.59,B,
2026-04-03,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,471.88,C,
2026-04-04,Dell Latitude 5420 i5-1145G7 32GB 1TB,316.17,A,
2026-04-04,Apple MacBook Air M1 8GB 256GB,604.13,B,
2026-04-06,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,321.14,A,
2026-04-06,Dell Latitude 5420 i5-1145G7 32GB 1TB,345.96,B,
2026-04-07,Dell Latitude 5420 i5-1135G7 16GB 512GB,237.30,C,
2026-04-09,Apple MacBook Air M1 8GB 256GB,415.08,D,
2026-04-13,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,671.84,B,
2026-04-14,Dell Latitude 5420 i5-1145G7 32GB 1TB,407.13,A+,
2026-04-16,Dell Latitude 5420 i5-1145G7 8GB 256GB,283.04,A,
2026-04-19,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,509.97,C,
2026-04-20,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,548.75,C,
2026-04-23,Apple MacBook Air M1 8GB 256GB,550.15,C,
2026-04-25,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,306.75,B,
2026-04-26,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,274.91,A,
2026-04-26,HP EliteBook 840 G7 i7-1165G7 16GB 512GB,247.96,B,
2026-04-27,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,625.01,B,
2026-04-28,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,761.33,B,
2026-05-01,HP EliteBook 840 G7 i5-10310U 16GB 256GB,226.24,B,
2026-05-02,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,312.34,A,
2026-05-06,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,558.26,A,
2026-05-09,Dell Latitude 7420 i5-1145G7 16GB 512GB,340.71,B,
2026-05-09,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,148.63,A,
2026-05-12,Apple MacBook Air M1 16GB 512GB,817.20,A,
2026-05-14,HP EliteBook 840 G7 i5-10310U 8GB 256GB,264.08,A+,
2026-05-15,Dell Latitude 7420 i5-1145G7 16GB 512GB,363.48,A+,
2026-05-18,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,648.53,B,
2026-05-26,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,279.16,A,
2026-05-27,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,533.24,B,
2026-05-29,HP EliteBook 840 G7 i5-10310U 8GB 256GB,170.48,C,
2026-05-31,HP EliteBook 840 G7 i5-10310U 16GB 256GB,190.61,C,
2026-06-11,Dell Latitude 5420 i5-1145G7 32GB 1TB,337.89,B,
2026-06-12,Dell Latitude 5420 i5-1145G7 32GB 1TB,273.64,C,
2026-06-12,Dell Latitude 7420 i7-1185G7 16GB 512GB,362.39,B,
2026-06-13,Dell Latitude 7420 i5-1145G7 16GB 512GB,299.25,B,
2026-06-15,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,630.00,B,
2026-06-16,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,108.39,C,
2026-06-16,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,245.06,C,
2026-06-19,Apple MacBook Air M1 16GB 512GB,729.91,A,
2026-06-20,Apple MacBook Air M1 16GB 512GB,675.10,B,
2026-06-24,HP EliteBook 840 G7 i5-10310U 16GB 256GB,177.56,C,
2026-06-25,HP EliteBook 840 G7 i5-10310U 8GB 256GB,214.20,A,
2026-06-28,Apple MacBook Air M1 16GB 512GB,606.59,C,
2026-06-30,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,561.05,A,
2026-06-30,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,253.79,B,
2026-07-03,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,434.23,B,
2026-07-05,Apple MacBook Air M1 8GB 256GB,544.98,B,
2026-07-05,Dell Latitude 7420 i5-1145G7 16GB 512GB,332.45,A,
2026-07-08,Apple MacBook Air M1 16GB 512GB,717.51,A,
2026-07-10,HP EliteBook 840 G7 i5-10310U 16GB 256GB,173.70,C,
2026-07-15,Dell Latitude 7420 i5-1145G7 16GB 512GB,331.75,B,
2026-07-15,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,578.48,A,
2026-07-21,Dell Latitude 5420 i5-1145G7 32GB 1TB,259.91,C,
2026-07-25,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,128.00,B,
2026-07-25,Dell Latitude 5420 i5-1145G7 8GB 256GB,216.17,B,
2026-07-26,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,274.70,B,
2026-07-27,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,269.93,B,
2026-07-30,Dell Latitude 7420 i7-1185G7 16GB 512GB,394.95,A,
2026-07-30,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,528.38,C,
2026-08-01,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,264.29,B,
2026-08-04,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,623.26,B,
2026-08-08,Dell Latitude 5420 i5-1135G7 16GB 512GB,228.84,B,
2026-08-10,Dell Latitude 5420 i5-1145G7 8GB 256GB,240.08,B,
2026-08-12,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,683.57,A,
2026-08-12,Dell Latitude 7420 i7-1185G7 16GB 512GB,432.61,A+,
2026-08-14,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,108.24,A,
2026-08-16,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,514.01,B,
