List Date,Model,Unit Price,Available,Cond
2026-02-16,HP EliteBook 840 G7 i5-10310U 16GB 256GB,188.97,10,B
2026-03-09,Dell Latitude 7420 i7-1185G7 16GB 512GB,292.50,5,C
2026-03-11,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,223.79,9,B
2026-03-19,Lenovo Legion 5 15 i7-11800H 16GB 512GB RTX 3060,419.60,11,B
2026-03-29,Dell Latitude 5420 i5-1135G7 16GB 512GB,189.38,10,B
2026-03-31,Apple MacBook Air M1 8GB 256GB,430.50,16,B
2026-03-31,HP EliteBook 840 G7 i7-1165G7 16GB 512GB,184.10,5,C
2026-04-03,Dell Latitude 7420 i5-1145G7 16GB 512GB,268.46,6,B
2026-04-08,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,371.79,20,C
2026-04-12,Apple MacBook Air M1 16GB 512GB,595.21,23,B
2026-04-12,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,116.57,4,A
2026-04-15,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,467.08,22,B
2026-04-21,Dell Latitude 7420 i7-1185G7 16GB 512GB,316.99,22,A
2026-04-25,Dell Latitude 7420 i7-1185G7 16GB 512GB,354.76,23,A
2026-04-29,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,479.21,21,B
2026-05-03,Apple MacBook Air M1 16GB 512GB,475.31,11,C
2026-05-07,Apple MacBook Air M1 8GB 256GB,449.71,18,A
2026-05-10,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,418.55,13,B
2026-05-12,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,184.91,4,B
2026-05-18,Lenovo ThinkPad X1 Carbon Gen 9 i7-1185G7 16GB 1TB,410.42,16,C
2026-05-23,HP EliteBook 840 G7 i5-10310U 16GB 256GB,147.56,12,C
2026-06-09,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,412.26,1,B
2026-06-15,Dell Latitude 5420 i5-1145G7 8GB 256GB,202.82,18,A
2026-06-17,Dell XPS 13 9310 i7-1185G7 16GB 1TB 4K Touch,315.34,3,C
2026-06-21,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,182.50,5,B
2026-06-21,Dell Latitude 7420 i5-1145G7 16GB 512GB,253.05,10,A
2026-06-23,Dell Latitude 5420 i5-1145G7 32GB 1TB,246.62,4,B
2026-06-25,Dell Latitude 5420 i5-1145G7 8GB 256GB,164.12,12,B
2026-06-29,Dell Latitude 5420 i5-1145G7 8GB 256GB,168.02,19,B
2026-07-03,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,77.27,6,C
2026-07-12,HP EliteBook 840 G7 i7-1165G7 16GB 512GB,188.51,8,B
2026-07-16,HP EliteBook 840 G7 i5-10310U 16GB 256GB,179.26,10,B
2026-07-23,Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD,217.01,19,A
2026-07-24,Lenovo ThinkPad T14 Gen 2 i5-1135G7 16GB 512GB,228.85,8,A
2026-07-24,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,72.57,8,C
2026-07-25,HP EliteBook 840 G7 i5-10310U 8GB 256GB,156.70,14,B
2026-08-03,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,107.88,19,A
2026-08-05,Apple MacBook Air M1 16GB 512GB,561.24,4,B
2026-08-05,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,302.50,2,C
2026-08-06,HP EliteBook 840 G7 i5-10310U 8GB 256GB,158.78,13,B
2026-08-09,Dell Latitude 5420 i5-1145G7 8GB 256GB,155.15,17,C
2026-08-14,Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in,93.10,17,A
2026-08-14,Apple MacBook Air M1 16GB 512GB,444.47,18,C
2026-08-17,Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB,451.24,11,A
2026-08-17,HP EliteBook 840 G7 i5-10310U 16GB 256GB,161.28,23,B
