ACME REFURB LTD - SALES EXPORT
Generated 19/08/2026 09:14 by j.petty
Filter: category = Laptops; status = Despatched

Inv Date ,Item Description  ,Qty,Cond.,Sold For ,Postage,VAT Rate,Cust Ref
07/08/2026,"Dell Latitude 5420 i5-1145G7 16GB 512GB NVMe 14in FHD",1,Grade B,"£285.00",£0.00,20%,INV-88121
13/08/2026,"HP EliteBook 840 G7 i5-10310U 16GB 256GB SSD",1,Grade A,"£1,249.00",£0.00,20%,INV-88122

15/08/2026,"Lenovo ThinkPad X1 Carbon Gen 9 i7-1165G7 16GB 512GB",1,Mint,"£529.00",£4.99,20%,INV-88123
02/08/2026,"Apple MacBook Air M1 8GB 256GB Space Grey",1,Very Good,"£489.00",£0.00,20%,INV-88124
11/08/2026,"DELL LAT5420 CORE I5 11TH GEN 16/512",1,Good,"£268.50",£0.00,20%,INV-88125
09/08/2026,"Acme WonderBook Pro 9000 32GB 1TB",1,Good,"£410.00",£0.00,20%,INV-88126
04/08/2026,"Dell Latitude 7420 i5 16GB",1,Fair,"£198.00",£0.00,20%,INV-88127
16/08/2026,"Dell Inspiron 3511 i3-1115G4 8GB 256GB 15.6in",1,Spares or Repair,"£45.00",£0.00,20%,INV-88128
18/08/2026,"HP EliteBook 840 G7 i7-1165G7 16GB 512GB",1,Grade B,"£312.00",£0.00,20%,INV-88129
,,,,,,,
TOTAL,,9,,"£3,785.50",£4.99,,
